age,gender,vhd_pr_risk,Pulmonic Valve Regurgitation,Annual Check
0-4,M,true,0.000024,0.999976
5-9,M,true,0.000024,0.999976
10-14,M,true,0.000024,0.999976
15-19,M,true,0.000021,0.999979
20-24,M,true,0.000011,0.999989
25-29,M,true,0.000008,0.999992
30-34,M,true,0.000005,0.999995
35-39,M,true,0.000006,0.999994
40-44,M,true,0.000002,0.999998
45-49,M,true,0.000002,0.999998
50-54,M,true,0.000003,0.999997
55-59,M,true,0.000005,0.999995
60-64,M,true,0.000005,0.999995
65-69,M,true,0.000004,0.999996
70-74,M,true,0.000004,0.999996
75-79,M,true,0.000005,0.999995
80-84,M,true,0.00001,0.99999
85-140,M,true,0,1
0-4,F,true,0.000025,0.999975
5-9,F,true,0.000017,0.999983
10-14,F,true,0.000018,0.999982
15-19,F,true,0.000011,0.999989
20-24,F,true,0.000011,0.999989
25-29,F,true,0.000008,0.999992
30-34,F,true,0.000006,0.999994
35-39,F,true,0.000003,0.999997
40-44,F,true,0.000008,0.999992
45-49,F,true,0.000003,0.999997
50-54,F,true,0.000002,0.999998
55-59,F,true,0.000003,0.999997
60-64,F,true,0.000006,0.999994
65-69,F,true,0.000004,0.999996
70-74,F,true,0.000005,0.999995
75-79,F,true,0.000009,0.999991
80-84,F,true,0.000002,0.999998
85-140,F,true,0.000002,0.999998
0-140,M,false,0,1
0-140,F,false,0,1
