age,gender,vhd_ts_risk,Tricuspid Valve Stenosis,Check for TR Onset
0-4,M,true,0.000018,0.999982
5-9,M,true,0.000003,0.999997
10-14,M,true,0.000004,0.999996
15-19,M,true,0.000002,0.999998
20-24,M,true,0.000002,0.999998
25-29,M,true,0.000001,0.999999
30-34,M,true,0.000002,0.999998
35-39,M,true,0.000001,0.999999
40-44,M,true,0.000001,0.999999
45-49,M,true,0.000001,0.999999
50-54,M,true,0.000003,0.999997
55-59,M,true,0.000001,0.999999
60-64,M,true,0.000004,0.999996
65-69,M,true,0.000005,0.999995
70-74,M,true,0.000008,0.999992
75-79,M,true,0.000015,0.999985
80-84,M,true,0.000012,0.999988
85-140,M,true,0.000012,0.999988
0-4,F,true,0.000015,0.999985
5-9,F,true,0.000003,0.999997
10-14,F,true,0.000001,0.999999
15-19,F,true,0.000003,0.999997
20-24,F,true,0.000001,0.999999
25-29,F,true,0.000001,0.999999
30-34,F,true,0.000002,0.999998
35-39,F,true,0.000001,0.999999
40-44,F,true,0.000001,0.999999
45-49,F,true,0.000004,0.999996
50-54,F,true,0.000001,0.999999
55-59,F,true,0.000003,0.999997
60-64,F,true,0.000004,0.999996
65-69,F,true,0.000008,0.999992
70-74,F,true,0.000009,0.999991
75-79,F,true,0.000014,0.999986
80-84,F,true,0.000011,0.999989
85-140,F,true,0.000007,0.999993
0-140,M,false,0,1
0-140,F,false,0,1
